RowId,YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Geolocation,ClassID,TopicID,QuestionID,LocationID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2
BRFSS~2022~2022~54~Q13~TNC04~AGE~SEX,2022,2022,WV,West Virginia,BRFSS,Nutrition/Physical Activity/Obesity,Obesity,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",%,PRCTG,Percentage,47.4,47.4,,,42.8,51.9,Age Group,50-64 years,Sex,Male,POINT (-80.71264013499967 38.66551020200046),C02,TNC04,Q13,54,AGE,5064,SEX,MALE
BRFSS~2022~2022~55~Q43~TOC11~AGE~RACE,2022,2022,WI,Wisconsin,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,POINT (-89.81637074199966 44.39319117400049),C01,TOC11,Q43,55,AGE,65PLUS,RACE,ASN
BRFSS~2022~2022~55~Q12~TSC01~AGE~RACE,2022,2022,WI,Wisconsin,BRFSS,Screenings and Vaccines,Mammogram within past 2 years,Percentage of older adult women who have received a mammogram within the past 2 years,%,PRCTG,Percentage,82.7,82.7,,,71.9,89.9,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",POINT (-89.81637074199966 44.39319117400049),C03,TSC01,Q12,55,AGE,65PLUS,RACE,BLK
BRFSS~2022~2022~9004~Q12~TSC01~AGE~SEX,2022,2022,WEST,West,BRFSS,Screenings and Vaccines,Mammogram within past 2 years,Percentage of older adult women who have received a mammogram within the past 2 years,%,PRCTG,Percentage,71.0,71.0,,,69.6,72.4,Age Group,Overall,Sex,Female,,C03,TSC01,Q12,9004,AGE,AGE_OVERALL,SEX,FEMALE
BRFSS~2022~2022~55~Q17~TAC01~AGE~SEX,2022,2022,WI,Wisconsin,BRFSS,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,%,PRCTG,Percentage,16.5,16.5,,,14.1,19.2,Age Group,50-64 years,Sex,Male,POINT (-89.81637074199966 44.39319117400049),C04,TAC01,Q17,55,AGE,5064,SEX,MALE
BRFSS~2022~2022~54~Q07~TOC05~AGE~OVERALL,2022,2022,WV,West Virginia,BRFSS,Overall Health,Oral health:  tooth retention,Percentage of older adults who report having lost 5 or fewer teeth due to decay or gum disease,%,PRCTG,Percentage,48.9,48.9,,,46.2,51.6,Age Group,65 years or older,,,POINT (-80.71264013499967 38.66551020200046),C01,TOC05,Q07,54,AGE,65PLUS,OVERALL,OVERALL
BRFSS~2022~2022~9004~Q45~TOC13~AGE~RACE,2022,2022,WEST,West,BRFSS,Overall Health,Fair or poor health among older adults with arthritis,Fair or poor health among older adults with doctor-diagnosed arthritis,%,PRCTG,Percentage,36.5,36.5,,,29.4,44.3,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",,C01,TOC13,Q45,9004,AGE,AGE_OVERALL,RACE,BLK
BRFSS~2022~2022~53~Q43~TOC11~AGE~SEX,2022,2022,WA,Washington,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,%,PRCTG,Percentage,49.3,49.3,,,47.9,50.8,Age Group,Overall,Sex,Female,POINT (-120.47001078999972 47.52227862900048),C01,TOC11,Q43,53,AGE,AGE_OVERALL,SEX,FEMALE
BRFSS~2022~2022~9004~Q42~TCC04~AGE~SEX,2022,2022,WEST,West,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,34.5,34.5,&,Regional estimates may not represent all states in the region,23.9,46.9,Age Group,50-64 years,Sex,Male,,C06,TCC04,Q42,9004,AGE,5064,SEX,MALE
BRFSS~2022~2022~51~Q35~TOC03~AGE~OVERALL,2022,2022,VA,Virginia,BRFSS,Overall Health,Recent activity limitations in past month,Mean number of days with activity limitations in the past month,Number,MEAN,Mean,5.3,5.3,,,4.6,5.9,Age Group,50-64 years,,,POINT (-78.45789046299967 37.54268067400045),C01,TOC03,Q35,51,AGE,5064,OVERALL,OVERALL
